what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1350099795498
java.specification.version,sysinfo,,,"1.7",1350099795498
java.vendor,sysinfo,,,"Oracle Corporation",1350099795498
java.version,sysinfo,,,"1.7.0_07",1350099795498
java.vm.info,sysinfo,,,"mixed mode, sharing",1350099795498
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1350099795498
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350099795498
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1350099795498
java.vm.specification.version,sysinfo,,,"1.7",1350099795498
java.vm.vendor,sysinfo,,,"Oracle Corporation",1350099795498
java.vm.version,sysinfo,,,"23.3-b01",1350099795498
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1350099795508
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1350099796458
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1350099798320
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1350099798320
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1350099798720
started,bundle,org.eclipse.jem.util,2.0.200.v200905140200,"org.eclipse.jem.util",1350099798730
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1350099798740
started,bundle,org.eclipse.jst.jsf.common,1.1.7.v20090903,"org.eclipse.jst.jsf.common",1350099799230
started,bundle,org.eclipse.jst.jsf.core,1.2.2.v20090903,"org.eclipse.jst.jsf.core",1350099799580
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1350099799640
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1350099799670
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1350099799840
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1350099800600
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1350099800710
