what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1350388775824
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1350388775834
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1350388775834
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1350388775835
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1350388775835
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1350388775836
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1350388775836
os,sysinfo,,,"win32",1350388775841
arch,sysinfo,,,"x86",1350388775841
ws,sysinfo,,,"win32",1350388775841
locale,sysinfo,,,"en_US",1350388775841
processors,sysinfo,,,"2",1350388775841
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350388775841
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1350388775841
java.specification.name,sysinfo,,,"Java Platform API Specification",1350388775841
java.specification.vendor,sysinfo,,,"Oracle Corporation",1350388775841
java.specification.version,sysinfo,,,"1.7",1350388775841
java.vendor,sysinfo,,,"Oracle Corporation",1350388775841
java.version,sysinfo,,,"1.7.0_07",1350388775841
java.vm.info,sysinfo,,,"mixed mode, sharing",1350388775841
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1350388775841
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350388775841
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1350388775841
java.vm.specification.version,sysinfo,,,"1.7",1350388775841
java.vm.vendor,sysinfo,,,"Oracle Corporation",1350388775841
