what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui",1350354077629
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1350354077629
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1350354077629
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1350354077629
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1350354077629
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1350354077629
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1350354077629
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1350354077629
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1350354077629
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1350354077629
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1350354077645
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1350354077645
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1350354077645
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1350354077645
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1350354077645
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1350354077645
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1350354077645
os,sysinfo,,,"win32",1350354077645
arch,sysinfo,,,"x86",1350354077645
ws,sysinfo,,,"win32",1350354077645
locale,sysinfo,,,"en_US",1350354077645
processors,sysinfo,,,"2",1350354077645
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350354077645
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1350354077645
java.specification.name,sysinfo,,,"Java Platform API Specification",1350354077645
